date,1. open,2. high,3. low,4. close,5. volume
2020-03-30,11.41,11.41,10.33,11.04,149361.0
2020-03-27,11.55,11.62,10.4895,11.29,129136.0
2020-03-26,11.6,11.72,10.8975,11.72,147155.0
2020-03-25,10.19,12.59,8.4,11.57,597912.0
2020-03-24,10.91,10.91,9.355,10.19,174335.0
2020-03-23,10.91,11.67,9.76,10.38,230724.0
2020-03-20,11.55,12.19,11.01,11.17,368603.0
2020-03-19,11.92,12.22,10.73,11.5,208389.0
2020-03-18,10.79,12.1,9.76,12.09,208547.0
2020-03-17,11.06,12.0,9.48,11.63,358159.0
2020-03-16,12.94,12.94,11.1,11.12,231382.0
2020-03-13,13.88,14.05,13.13,13.48,419652.0
2020-03-12,13.37,14.16,13.01,13.2,238289.0
2020-03-11,13.88,14.7,13.7,14.03,121472.0
2020-03-10,14.81,14.87,13.56,14.23,71904.0
2020-03-09,15.32,15.85,13.26,14.51,146502.0
2020-03-06,15.99,16.76,15.63,16.19,164868.0
2020-03-05,16.12,16.55,15.85,16.51,105419.0
2020-03-04,16.29,16.52,15.875,16.47,88797.0
2020-03-03,16.07,16.67,15.52,16.08,80067.0
2020-03-02,15.6,16.76,15.01,16.18,132860.0
2020-02-28,16.05,16.16,15.335,15.44,86830.0
2020-02-27,16.94,16.945,16.01,16.4,86432.0
2020-02-26,17.26,17.49,16.97,17.17,123348.0
2020-02-25,17.12,18.5041,16.97,17.19,130892.0
2020-02-24,17.05,17.375,17.0,17.11,107997.0
2020-02-21,17.03,17.53,16.82,17.42,70623.0
2020-02-20,16.87,17.52,16.58,17.31,162744.0
2020-02-19,16.57,16.95,16.27,16.93,117573.0
2020-02-18,16.57,16.91,16.27,16.51,79228.0
2020-02-14,16.84,16.93,16.1028,16.68,33972.0
2020-02-13,16.23,16.943,16.2,16.84,62011.0
2020-02-12,16.55,16.73,15.4529,16.34,52594.0
2020-02-11,16.53,16.985,16.235,16.47,140514.0
2020-02-10,17.03,17.075,16.345,16.44,174893.0
2020-02-07,16.85,17.0,16.4342,16.99,206608.0
2020-02-06,16.8,17.02,16.455,16.925,69193.0
2020-02-05,16.72,16.85,16.2,16.77,101094.0
2020-02-04,16.09,16.76,15.97,16.68,152863.0
2020-02-03,15.12,16.11,15.12,15.86,108042.0
2020-01-31,15.51,15.76,14.99,15.08,98749.0
2020-01-30,15.73,16.12,15.0023,15.64,71247.0
2020-01-29,16.39,16.39,15.8,15.84,54338.0
2020-01-28,16.44,16.67,16.31,16.37,52902.0
2020-01-27,16.05,16.7,15.8,16.37,195354.0
2020-01-24,16.19,16.43,16.025,16.25,142673.0
2020-01-23,16.37,16.44,16.12,16.33,229724.0
2020-01-22,16.43,16.68,16.27,16.46,352683.0
2020-01-21,16.41,16.69,16.29,16.45,103816.0
2020-01-17,16.6,16.665,16.25,16.47,86776.0
2020-01-16,16.15,16.565,16.12,16.51,216839.0
2020-01-15,16.16,16.29,16.08,16.22,237410.0
2020-01-14,16.23,16.43,16.08,16.16,105673.0
2020-01-13,16.0,16.58,15.83,16.34,165596.0
2020-01-10,16.07,16.22,15.97,16.03,139010.0
2020-01-09,16.1,16.275,16.01,16.1,427645.0
2020-01-08,16.19,16.51,16.02,16.14,715362.0
2020-01-07,16.3,16.42,16.01,16.23,239400.0
2020-01-06,16.59,16.67,16.27,16.43,170161.0
2020-01-03,16.17,16.81,16.13,16.68,248827.0
2020-01-02,16.09,16.37,15.81,16.32,159151.0
2019-12-31,15.71,16.15,15.655,16.05,245225.0
2019-12-30,15.54,15.97,15.34,15.74,112668.0
2019-12-27,15.49,15.795,15.18,15.56,303846.0
2019-12-26,15.57,15.67,15.42,15.55,299456.0
2019-12-24,15.44,15.825,15.415,15.61,126599.0
2019-12-23,16.16,16.27,15.12,15.47,343248.0
2019-12-20,15.97,16.71,15.85,16.02,2855605.0
2019-12-19,15.45,16.37,15.36,15.97,379425.0
2019-12-18,14.84,15.82,14.79,15.31,471133.0
2019-12-17,13.72,15.15,13.692,14.8,845058.0
2019-12-16,14.04,14.73,13.52,13.62,414638.0
2019-12-13,14.47,14.915,13.75,14.15,275875.0
2019-12-12,14.67,14.9,14.39,14.47,150694.0
2019-12-11,14.4,14.95,14.26,14.62,174477.0
2019-12-10,14.2,14.76,14.12,14.48,190843.0
2019-12-09,14.78,15.045,14.21,14.25,316544.0
2019-12-06,13.54,16.94,13.54,14.78,1023875.0
2019-12-05,14.73,14.8825,12.92,13.62,713320.0
