date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,29.86,29.95,28.8,29.5,1888458.0
2020-04-08,31.0,31.42,28.0,29.1,3502622.0
2020-04-07,36.5,36.7,31.15,32.09,1355751.0
2020-04-06,36.5,39.88,32.15,36.7,3706314.0
2020-04-03,29.0,30.97,27.73,29.0,408463.0
2020-04-02,29.96,30.4,27.12,29.26,578704.0
2020-04-01,33.05,34.49,29.52,29.77,594398.0
2020-03-31,35.47,35.6,32.95,34.27,344593.0
2020-03-30,36.5,36.5,32.01,35.5,718926.0
2020-03-27,32.5,37.49,31.01,34.3,974952.0
2020-03-26,31.37,32.0,29.01,32.0,507800.0
2020-03-25,37.0,37.395,30.195,30.75,911672.0
2020-03-24,35.32,36.5973,31.0,32.75,681139.0
2020-03-23,39.94,39.94,35.0,36.61,410560.0
2020-03-20,43.3,43.59,36.0,39.76,688112.0
2020-03-19,47.5,48.0,37.0,42.81,911585.0
2020-03-18,49.16,54.0,45.0,49.18,807373.0
2020-03-17,47.07,53.76,43.03,50.26,1095049.0
2020-03-16,36.25,49.0,34.15,45.76,917513.0
2020-03-13,37.54,43.66,33.1,43.66,1117693.0
2020-03-12,40.0,41.5,34.25,37.6,1665013.0
2020-03-11,33.55,40.99,30.52,33.77,1452307.0
2020-03-10,37.9,37.99,27.4138,29.91,818428.0
2020-03-09,49.19,49.77,36.08,39.0,841710.0
2020-03-06,42.55,46.0,42.15,45.7,474044.0
2020-03-05,45.72,46.64,43.0201,43.78,427291.0
2020-03-04,42.0,47.49,41.52,44.9,1067488.0
2020-03-03,38.7,41.5,36.0819,40.97,892223.0
2020-03-02,39.53,47.0,38.26,45.0,813175.0
2020-02-28,71.15,71.96,38.3,46.5,3339723.0
2020-02-27,68.99,75.0,38.11,60.2,6588602.0
2020-02-26,23.29,36.5,23.2601,34.975,3976387.0
2020-02-25,20.62,21.73,19.0,21.73,744209.0
2020-02-24,18.0,20.23,17.03,18.96,740732.0
2020-02-21,16.91,17.0,16.09,16.26,159429.0
2020-02-20,16.88,17.26,16.6376,16.91,107083.0
2020-02-19,17.62,17.8549,16.78,17.1,177897.0
2020-02-18,17.82,18.0,17.16,17.53,193326.0
2020-02-14,17.11,18.15,17.11,17.38,278144.0
2020-02-13,19.28,19.88,17.02,17.06,380690.0
2020-02-12,19.13,19.8,18.515,18.99,264045.0
2020-02-11,20.0,20.1221,18.0,18.24,304416.0
2020-02-10,20.86,20.86,19.305,20.02,202459.0
2020-02-07,18.74,20.86,18.65,20.47,349865.0
2020-02-06,20.1,20.97,18.87,19.23,385857.0
2020-02-05,20.52,21.24,20.28,20.92,296517.0
2020-02-04,20.69,22.08,20.51,21.24,749183.0
2020-02-03,26.9,27.5,21.9,22.805,1199818.0
2020-01-31,25.25,29.0,24.3,26.63,1751544.0
2020-01-30,23.34,25.2362,21.3553,23.53,1215819.0
2020-01-29,20.63,26.29,20.21,22.47,2146543.0
2020-01-28,24.05,24.2,19.6,21.31,763999.0
2020-01-27,25.93,27.4753,23.0,24.775,2687433.0
2020-01-24,17.42,20.16,17.0,19.95,440118.0
2020-01-23,18.25,18.46,16.4,16.98,267667.0
2020-01-22,16.48,17.1016,16.12,16.54,36652.0
2020-01-21,16.4,16.6588,16.005,16.47,113927.0
2020-01-17,17.5,18.54,16.17,16.38,309516.0
2020-01-16,15.82,17.295,15.44,17.17,269503.0
2020-01-15,14.66,15.3,14.25,15.26,106766.0
2020-01-14,13.35,14.6,13.134,14.55,157566.0
2020-01-13,12.96,13.4,12.8,13.22,124305.0
2020-01-10,12.73,13.12,12.5666,12.84,98750.0
2020-01-09,12.58,12.7,12.37,12.64,43030.0
2020-01-08,12.15,12.595,12.15,12.43,79422.0
2020-01-07,12.15,12.59,12.075,12.18,93075.0
2020-01-06,12.13,12.31,12.04,12.19,89495.0
2020-01-03,12.2,12.38,12.0,12.04,103682.0
2020-01-02,12.56,12.9423,12.01,12.15,142748.0
2019-12-31,12.14,12.98,12.01,12.575,241429.0
2019-12-30,12.41,12.6375,12.08,12.12,106377.0
2019-12-27,12.83,13.2399,12.35,12.37,285827.0
2019-12-26,12.66,13.1,12.63,12.68,72293.0
2019-12-24,12.55,12.975,12.53,12.62,22339.0
2019-12-23,12.34,13.07,12.31,12.53,129120.0
2019-12-20,12.4,13.39,12.27,12.27,803854.0
2019-12-19,12.29,12.7998,12.273,12.37,64344.0
2019-12-18,12.57,12.79,12.3,12.38,66354.0
2019-12-17,12.52,12.999,12.3,12.57,151764.0
2019-12-16,13.69,13.97,12.5,12.52,133649.0
2019-12-13,12.96,14.1,12.89,13.66,151987.0
2019-12-12,12.94,13.29,12.775,12.98,119458.0
2019-12-11,12.78,13.1726,12.72,12.94,89358.0
2019-12-10,13.0,13.36,12.7,12.76,168230.0
2019-12-09,12.54,13.21,12.4,12.88,130772.0
2019-12-06,13.14,13.69,12.48,12.62,178796.0
2019-12-05,13.63,13.91,12.94,13.02,91044.0
2019-12-04,13.2,13.8258,12.75,13.6,135811.0
2019-12-03,13.12,13.49,12.9,13.07,111539.0
2019-12-02,11.99,13.415,11.99,13.2,184595.0
2019-11-29,11.93,12.1415,11.86,11.95,56765.0
2019-11-27,11.94,12.1,11.83,11.9,101085.0
2019-11-26,12.45,12.55,11.6504,11.83,127692.0
2019-11-25,12.92,13.1254,12.28,12.37,54790.0
2019-11-22,12.72,13.2,12.53,12.79,35054.0
2019-11-21,12.42,13.01,12.42,12.81,89336.0
2019-11-20,12.77,13.1211,12.34,12.47,80658.0
2019-11-19,12.87,13.1,12.76,12.85,64876.0
2019-11-18,12.92,13.08,12.63,12.85,67621.0
2019-11-15,13.02,13.085,12.72,13.02,109393.0
2019-11-14,13.01,13.25,13.01,13.1,72652.0
2019-11-13,13.2,13.425,13.0,13.06,77257.0
2019-11-12,13.21,13.77,13.12,13.15,171516.0
2019-11-11,13.86,13.99,13.07,13.27,85265.0
2019-11-08,14.52,14.77,13.68,13.83,169222.0
2019-11-07,14.74,15.25,14.1,14.53,192641.0
2019-11-06,15.89,16.13,14.44,14.63,144961.0
2019-11-05,15.92,16.1999,15.79,15.85,250711.0
2019-11-04,15.15,15.79,14.69,15.75,126825.0
2019-11-01,14.1,15.01,14.1,15.0,93717.0
2019-10-31,14.45,14.52,13.84,14.1,109904.0
