date,1. open,2. high,3. low,4. close,5. volume
2020-03-30,1.05,1.1766,1.05,1.13,664.0
2020-03-27,1.46,1.46,1.17,1.22,8849.0
2020-03-26,1.06,1.45,1.008,1.45,12487.0
2020-03-25,1.05,1.05,0.95,1.01,8954.0
2020-03-24,1.16,1.45,1.0942,1.0942,6941.0
2020-03-23,1.06,1.13,1.0,1.0858,3570.0
2020-03-20,1.2,1.7,1.05,1.05,14509.0
2020-03-19,1.8,1.8,1.3,1.3,6267.0
2020-03-18,1.26,1.26,1.15,1.15,2326.0
2020-03-17,1.5,1.558,1.2,1.26,8412.0
2020-03-16,2.39,2.39,1.65,1.6967,16141.0
2020-03-13,4.1,5.0,2.0,2.35,40053.0
2020-03-12,1.94,8.4,1.806,4.06,97280.0
2020-03-11,1.8,1.8,1.8,1.8,0.0
2020-03-10,1.8,1.8,1.8,1.8,0.0
2020-03-09,1.8,1.8,1.8,1.8,0.0
2020-03-06,1.8,1.8,1.8,1.8,0.0
2020-03-05,1.8,1.8,1.8,1.8,0.0
2020-03-04,1.8,1.8,1.8,1.8,0.0
2020-03-03,1.8,1.8,1.8,1.8,0.0
2020-03-02,1.8,1.8,1.8,1.8,0.0
2020-02-28,1.8,1.8,1.8,1.8,0.0
2020-02-27,1.8,1.8,1.8,1.8,0.0
2020-02-26,1.8,1.8,1.8,1.8,0.0
2020-02-25,1.8,1.8,1.8,1.8,0.0
2020-02-24,1.8,1.8,1.8,1.8,0.0
2020-02-21,1.8,1.8,1.8,1.8,0.0
2020-02-20,1.8,1.8,1.8,1.8,0.0
2020-02-19,1.8,1.8,1.8,1.8,0.0
2020-02-18,1.8,1.8,1.8,1.8,0.0
2020-02-14,1.8,1.8,1.8,1.8,0.0
2020-02-13,1.8,1.8,1.8,1.8,0.0
2020-02-12,1.8,1.8,1.8,1.8,0.0
2020-02-11,1.8,1.8,1.8,1.8,0.0
2020-02-10,1.8,1.8,1.8,1.8,0.0
2020-02-07,1.8,1.8,1.8,1.8,0.0
2020-02-06,1.8,1.8,1.8,1.8,0.0
2020-02-04,1.8,1.8,1.8,1.8,0.0
2020-02-03,1.8,1.8,1.8,1.8,0.0
2020-01-31,1.8,1.8,1.8,1.8,0.0
2020-01-29,1.8,1.8,1.8,1.8,0.0
2020-01-28,1.8,1.8,1.8,1.8,0.0
2020-01-27,1.8,1.8,1.8,1.8,0.0
2020-01-24,1.8,1.8,1.8,1.8,0.0
2020-01-23,1.8,1.8,1.8,1.8,0.0
2020-01-22,1.8,1.8,1.8,1.8,0.0
2020-01-21,1.8,1.8,1.8,1.8,0.0
2020-01-17,1.8,1.8,1.8,1.8,0.0
2020-01-16,1.8,1.8,1.8,1.8,0.0
2020-01-15,1.8,1.8,1.8,1.8,0.0
2020-01-14,1.8,1.8,1.8,1.8,0.0
2020-01-13,1.8,1.8,1.8,1.8,0.0
2020-01-10,1.8,1.8,1.8,1.8,0.0
2020-01-09,1.8,1.8,1.8,1.8,0.0
2020-01-08,1.8,1.8,1.8,1.8,0.0
2020-01-07,1.8,1.8,1.8,1.8,0.0
2020-01-06,1.8,1.8,1.8,1.8,0.0
