date,1. open,2. high,3. low,4. close,5. volume
2018-05-09,18.88,19.72,18.69,19.13,64556.0
2018-05-08,19.72,19.9,19.51,19.77,16793.0
2018-05-07,19.7,19.95,19.41,19.68,11824.0
2018-05-04,20.0,20.24,19.51,19.82,57837.0
2018-05-03,19.96,20.55,19.44,20.0,126984.0
2018-05-02,19.37,19.65,18.5,19.45,26669.0
2018-05-01,18.75,19.77,18.48,19.47,48008.0
2018-04-30,19.13,19.31,18.385,18.82,30267.0
2018-04-27,19.23,19.34,18.71,19.12,26539.0
2018-04-26,18.78,19.26,18.78,19.26,66143.0
2018-04-25,18.72,19.46,17.97,18.87,116880.0
2018-04-24,19.06,19.09,18.095,18.74,94883.0
2018-04-23,19.77,20.65,18.85,18.91,57900.0
2018-04-20,20.57,20.6,19.67,19.71,43797.0
2018-04-19,19.95,21.0,19.95,20.66,45334.0
2018-04-18,20.03,20.53,19.05,20.16,94412.0
2018-04-17,19.13,20.85,19.13,20.1,91910.0
2018-04-16,19.39,20.02,18.3166,19.51,92392.0
2018-04-13,17.94,19.625,17.94,19.12,337766.0
2018-04-12,18.27,18.77,17.12,17.92,81986.0
2018-04-11,17.24,18.5,16.65,18.35,59927.0
2018-04-10,15.78,17.48,15.64,17.31,63525.0
2018-04-09,16.37,16.54,15.45,15.52,139833.0
2018-04-06,16.43,16.87,16.0,16.34,22276.0
2018-04-05,15.21,17.02,15.21,16.52,82998.0
2018-04-04,14.5,15.1,14.405,15.06,58162.0
2018-04-03,14.55,14.7,14.0001,14.56,53119.0
2018-04-02,14.6,14.7657,14.15,14.53,26447.0
2018-03-29,15.3,15.48,14.64,15.06,52273.0
2018-03-28,15.5,15.7047,14.4699,14.9,48443.0
2018-03-27,15.5,15.86,15.2399,15.49,43899.0
2018-03-26,16.28,16.375,15.29,15.41,29909.0
2018-03-23,17.569,17.569,15.84,16.04,46391.0
2018-03-22,17.55,17.55,16.69,16.76,20438.0
2018-03-21,17.9,17.98,17.51,17.68,14108.0
2018-03-20,17.35,17.8,17.35,17.61,21451.0
2018-03-19,17.75,18.19,17.14,17.26,23982.0
2018-03-16,16.66,18.4,16.66,18.02,69499.0
2018-03-15,17.28,17.33,16.69,16.69,28510.0
2018-03-14,17.45,18.445,17.05,17.14,31238.0
2018-03-13,17.45,17.89,17.195,17.26,17946.0
2018-03-12,18.07,18.07,17.095,17.41,52008.0
2018-03-09,16.3473,18.3377,16.3473,17.5,80317.0
2018-03-08,15.51,17.0,15.1,16.51,82871.0
2018-03-07,17.0,17.44,16.5,16.91,292721.0
2018-03-06,17.22,17.89,16.63,16.83,41896.0
2018-03-05,17.07,17.47,16.87,17.26,24240.0
2018-03-02,16.87,17.59,16.33,17.0,26190.0
2018-03-01,17.65,18.155,16.47,16.9,124619.0
2018-02-28,18.23,18.46,17.3936,17.65,163947.0
2018-02-27,17.73,18.4,17.73,18.08,5125.0
2018-02-26,18.44,18.7,17.21,17.71,42958.0
2018-02-23,18.1,18.4,17.3,18.31,10106.0
2018-02-22,17.87,18.3,17.725,18.02,10653.0
2018-02-21,17.33,17.95,15.6,17.68,11691.0
2018-02-20,17.33,17.66,16.92,17.43,14627.0
2018-02-16,17.31,18.15,17.085,17.3,8100.0
2018-02-15,16.57,17.68,15.9201,17.41,17408.0
2018-02-14,17.08,18.0,16.52,16.65,11041.0
2018-02-13,16.63,18.405,16.63,17.27,11628.0
2018-02-12,16.785,17.15,16.5,16.82,6565.0
2018-02-09,16.52,16.8,15.855,16.63,23525.0
2018-02-08,17.02,17.02,16.0,16.48,26658.0
2018-02-07,17.3675,17.3675,16.5,17.14,8296.0
2018-02-06,16.07,17.2253,16.07,16.84,42251.0
2018-02-05,17.03,17.08,16.3622,16.5,18966.0
2018-02-02,17.4918,17.895,17.01,17.03,9060.0
2018-02-01,16.9,17.96,16.9,17.7,29410.0
2018-01-31,17.49,17.6,16.011,17.0,61734.0
2018-01-30,17.35,18.2757,17.22,17.3,25875.0
2018-01-29,18.8953,18.99,17.57,17.72,49002.0
2018-01-26,18.67,19.0,18.35,18.88,22643.0
2018-01-25,19.02,19.02,18.65,18.71,14088.0
2018-01-24,18.84,19.07,18.65,18.87,13747.0
2018-01-23,18.73,19.0,18.51,18.8,29300.0
2018-01-22,18.84,19.15,18.8,18.91,12621.0
2018-01-19,18.54,19.24,18.54,18.71,77236.0
2018-01-18,19.09,19.09,18.4,18.62,35055.0
2018-01-17,19.27,19.4,18.71,18.82,34177.0
2018-01-16,19.01,19.95,19.01,19.23,24432.0
2018-01-12,19.24,19.3012,18.91,19.1,15316.0
2018-01-11,19.06,19.43,18.99,19.16,18188.0
2018-01-10,19.29,19.5,18.89,19.09,42032.0
2018-01-09,19.61,19.62,19.26,19.39,10400.0
2018-01-08,20.01,20.01,19.235,19.53,47558.0
2018-01-05,19.76,20.436,19.39,20.05,58861.0
2018-01-04,20.73,20.73,19.17,19.54,44783.0
2018-01-03,21.74,22.2,20.335,20.56,107911.0
2018-01-02,19.1897,22.01,19.1897,21.73,69226.0
2017-12-29,18.96,19.34,18.8675,19.19,16400.0
2017-12-28,19.1,19.22,18.75,18.84,26670.0
2017-12-27,19.81,19.81,18.41,18.89,33179.0
2017-12-26,18.97,20.38,18.68,19.69,17856.0
2017-12-22,18.3697,19.01,18.3697,18.97,11645.0
2017-12-21,18.37,19.24,18.37,18.82,25266.0
2017-12-20,18.75,19.0575,18.46,18.5,50348.0
2017-12-19,18.89,19.28,18.56,18.6,33896.0
2017-12-18,18.92,19.38,18.54,18.98,108472.0
2017-12-15,18.79,19.47,18.34,18.61,517113.0
2017-12-14,18.9801,19.64,18.61,18.61,52577.0
2017-12-13,18.98,19.64,18.615,18.94,82546.0
2017-12-12,19.25,20.22,18.6,19.14,102951.0
2017-12-11,18.88,20.025,18.88,19.09,64687.0
2017-12-08,18.94,19.75,18.66,18.77,52504.0
2017-12-07,19.99,19.99,18.71,19.07,27354.0
2017-12-06,19.78,20.22,18.555,19.2,64618.0
2017-12-05,18.6101,21.04,18.51,19.64,36252.0
2017-12-04,19.76,20.23,18.14,18.43,38075.0
2017-12-01,20.16,20.43,19.47,19.68,57010.0
2017-11-30,20.56,21.25,19.49,19.89,78327.0
2017-11-29,21.06,21.3062,20.05,20.69,39530.0
2017-11-28,21.007,21.35,19.98,21.09,30044.0
2017-11-27,20.34,20.56,20.02,20.31,29579.0
2017-11-24,20.99,20.99,19.79,20.39,9926.0
2017-11-22,20.04,20.82,19.705,20.37,103224.0
2017-11-21,20.31,20.31,19.88,20.2,19692.0
2017-11-20,19.53,20.557,19.13,20.02,32587.0
2017-11-17,18.86,19.68,18.86,19.48,19404.0
2017-11-16,19.9,19.9,18.62,18.82,18359.0
2017-11-15,19.52,19.68,18.9,19.54,50103.0
2017-11-14,20.41,20.461,19.1,19.18,48400.0
2017-11-13,19.8,21.17,19.56,20.1,44653.0
2017-11-10,18.02,20.19,18.02,19.75,64522.0
2017-11-09,18.5,19.311,18.0,18.2,53921.0
2017-11-08,20.42,20.577,18.89,18.89,49919.0
2017-11-07,21.5,21.855,19.5,20.51,40989.0
2017-11-06,20.6,23.0,20.6,21.82,118816.0
2017-11-03,19.49,21.0,19.13,20.8,49395.0
2017-11-02,18.99,19.85,18.99,19.49,53711.0
2017-11-01,18.31,19.45,18.12,18.96,43768.0
2017-10-31,18.11,18.47,18.05,18.26,33092.0
2017-10-30,18.31,18.519,18.001,18.02,28174.0
2017-10-27,17.8,18.307,17.72,18.07,21997.0
2017-10-26,18.0,18.145,17.7,17.95,55409.0
2017-10-25,18.005,18.16,17.55,17.86,104249.0
2017-10-24,17.74,18.1,17.74,18.0,31175.0
2017-10-23,18.3,18.46,17.78,17.84,71881.0
2017-10-20,18.32,18.55,17.87,18.42,57347.0
2017-10-19,17.51,18.5,17.09,18.0,187712.0
2017-10-18,17.74,17.902,17.03,17.5,109613.0
2017-10-17,18.24,18.63,17.51,17.75,180832.0
2017-10-16,18.74,18.95,18.15,18.18,178096.0
2017-10-13,18.9,19.669,18.12,18.75,327174.0
2017-10-12,18.0,20.9,17.17,19.22,2880485.0
