date,1. open,2. high,3. low,4. close,5. volume
2020-03-31,2.36,2.465,2.33,2.41,222425.0
2020-03-30,2.49,2.49,2.3301,2.37,174819.0
2020-03-27,2.4,2.52,2.32,2.45,211047.0
2020-03-26,2.3,2.61,2.28,2.3861,350223.0
2020-03-25,2.17,2.36,2.13,2.28,367203.0
2020-03-24,2.1,2.11,2.031,2.07,276291.0
2020-03-23,2.16,2.16,1.89,1.97,501687.0
2020-03-20,2.13,2.19,1.99,2.04,331425.0
2020-03-19,2.01,2.2,1.98,2.08,242805.0
2020-03-18,1.99,2.13,1.9,2.02,597206.0
2020-03-17,1.92,2.1,1.9,2.07,638253.0
2020-03-16,1.65,1.91,1.63,1.87,509608.0
2020-03-13,2.25,2.45,1.97,2.05,673512.0
2020-03-12,2.35,2.38,1.97,2.06,734853.0
2020-03-11,3.01,3.02,2.49,2.57,643334.0
2020-03-10,3.22,3.225,2.8601,2.98,381034.0
2020-03-09,3.18,3.32,2.955,2.98,799000.0
2020-03-06,2.99,3.68,2.9153,3.43,1817779.0
2020-03-05,3.12,3.3,2.8,2.82,1404764.0
2020-03-04,3.15,3.19,3.0509,3.17,364378.0
2020-03-03,3.11,3.22,3.0,3.09,284394.0
2020-03-02,3.08,3.11,2.96,3.07,736904.0
2020-02-28,2.95,3.182,2.94,3.03,535279.0
2020-02-27,3.15,3.22,3.0,3.06,1140047.0
2020-02-26,3.16,3.35,3.11,3.22,518785.0
2020-02-25,3.36,3.38,3.06,3.09,606863.0
2020-02-24,3.3,3.4,3.23,3.34,561556.0
2020-02-21,3.42,3.48,3.37,3.44,220353.0
2020-02-20,3.44,3.49,3.37,3.43,351925.0
2020-02-19,3.56,3.56,3.38,3.45,306715.0
2020-02-18,3.49,3.5275,3.37,3.5,393686.0
2020-02-14,3.45,3.53,3.37,3.48,365975.0
2020-02-13,3.52,3.57,3.41,3.42,416271.0
2020-02-12,3.59,3.63,3.48,3.56,478820.0
2020-02-11,3.6,3.61,3.47,3.55,468975.0
2020-02-10,3.66,3.7,3.55,3.61,556546.0
2020-02-07,3.83,3.85,3.55,3.64,810561.0
2020-02-06,3.95,3.95,3.66,3.78,596441.0
2020-02-05,3.78,4.05,3.7,3.93,1531708.0
2020-02-04,3.66,3.69,3.53,3.58,601115.0
2020-02-03,3.59,3.67,3.54,3.63,538748.0
2020-01-31,3.72,3.77,3.53,3.55,484695.0
2020-01-30,3.8,3.87,3.6,3.7,775079.0
2020-01-29,4.03,4.04,3.79,3.82,852392.0
2020-01-28,3.89,3.93,3.81,3.84,556009.0
2020-01-27,3.88,4.0386,3.72,3.75,1129924.0
2020-01-24,4.27,4.2999,3.88,3.93,1255803.0
2020-01-23,4.32,4.33,4.095,4.28,583791.0
2020-01-22,4.4597,4.6798,4.26,4.41,1129051.0
2020-01-21,3.9,4.49,3.88,4.47,1943574.0
2020-01-17,4.01,4.16,3.71,3.8,1604219.0
2020-01-16,3.66,4.1,3.62,4.1,1283980.0
2020-01-15,3.72,3.73,3.53,3.68,810929.0
2020-01-14,3.81,3.84,3.65,3.72,539846.0
2020-01-13,3.72,3.93,3.65,3.83,905232.0
2020-01-10,3.68,3.68,3.51,3.55,444626.0
2020-01-09,3.55,3.67,3.55,3.64,618526.0
2020-01-08,3.63,3.6508,3.43,3.54,682714.0
2020-01-07,3.8,3.8,3.6,3.66,598600.0
2020-01-06,3.66,3.75,3.59,3.7,464296.0
2020-01-03,3.68,3.69,3.56,3.64,462145.0
2020-01-02,3.85,3.8787,3.62,3.71,605240.0
2019-12-31,3.63,3.85,3.571,3.82,664932.0
2019-12-30,3.68,3.74,3.55,3.63,597483.0
2019-12-27,3.9,3.97,3.62,3.7,931534.0
2019-12-26,3.84,3.95,3.75,3.86,754083.0
2019-12-24,3.95,3.97,3.76,3.82,660068.0
2019-12-23,3.36,4.0,3.32,3.95,2482522.0
2019-12-20,3.41,3.46,3.25,3.3,1338781.0
